request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This keeps at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This keeps at least ZAR 20500 available over the next 90 days.
request_28,236.68,affordable_later,wait,2024-08-18:1302.4,2024-08-18,none,"Wait until 18 August 2024, then pay EUR 1302.4 in full; paying sooner would put the EUR 1100 minimum at risk."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. This keeps at least ZAR 28300 available over the next 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 06 April 2026. This keeps at least USD 900 available."
request_31,2471147.77,affordable_later,wait,2024-10-14:18164000,2024-10-14,none,"Wait until 14 October 2024, then pay IDR 18164000 in full; paying sooner would put the IDR 16588900 minimum at risk."
request_32,13438.4,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 April 2025. No eligible option keeps the ZAR 35700 minimum protected.
request_33,35925.94,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 March 2026. No eligible option keeps the INR 102100 minimum protected.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This keeps at least INR 138500 available over the next 90 days.
request_35,27452.38,affordable_later,wait,2026-01-13:212000,2026-01-13,none,"Wait until 13 January 2026, then pay INR 212000 in full; paying sooner would put the INR 106400 minimum at risk."
request_36,593.59,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 September 2026. No eligible option keeps the USD 2400 minimum protected.
request_37,2941210.06,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 May 2024. No eligible option keeps the IDR 17056200 minimum protected.
